"STATISTIC","Statistic Label","C02173V03830","Area of Residence","C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20131","2013Q1","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20132","2013Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20133","2013Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20134","2013Q4","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20141","2014Q1","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20142","2014Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20143","2014Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20144","2014Q4","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20151","2015Q1","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20152","2015Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20153","2015Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20154","2015Q4","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20161","2016Q1","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20162","2016Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20163","2016Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20164","2016Q4","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20171","2017Q1","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20172","2017Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20173","2017Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20174","2017Q4","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20181","2018Q1","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20182","2018Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20183","2018Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20184","2018Q4","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20191","2019Q1","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20192","2019Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20193","2019Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20194","2019Q4","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20121","2012Q1","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20122","2012Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20123","2012Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20124","2012Q4","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20131","2013Q1","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20132","2013Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20133","2013Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20134","2013Q4","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20141","2014Q1","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20142","2014Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20143","2014Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20144","2014Q4","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20151","2015Q1","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20152","2015Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20153","2015Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20154","2015Q4","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20161","2016Q1","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20162","2016Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20163","2016Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20164","2016Q4","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20171","2017Q1","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20172","2017Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20173","2017Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20174","2017Q4","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20181","2018Q1","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20182","2018Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20183","2018Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20184","2018Q4","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20191","2019Q1","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20192","2019Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20193","2019Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","20194","2019Q4","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20121","2012Q1","%","55"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20122","2012Q2","%","48"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20123","2012Q3","%","59"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20124","2012Q4","%","53"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20131","2013Q1","%","55"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20132","2013Q2","%","42"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20133","2013Q3","%","47"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20134","2013Q4","%","54"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20141","2014Q1","%","57"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20142","2014Q2","%","46"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20143","2014Q3","%","46"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20144","2014Q4","%","48"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20151","2015Q1","%","55"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20152","2015Q2","%","43"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20153","2015Q3","%","47"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20154","2015Q4","%","49"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20161","2016Q1","%","51"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20162","2016Q2","%","46"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20163","2016Q3","%","42"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20164","2016Q4","%","47"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20171","2017Q1","%","42"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20172","2017Q2","%","38"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20173","2017Q3","%","40"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20174","2017Q4","%","44"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20181","2018Q1","%","41"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20182","2018Q2","%","36"
